run_id,timestamp_local,optimizer,iteration,cost,maxiter,n_dim,elapsed_seconds
20260318_111348,2026-03-18T11:14:19,SPSA,1,1.116976001282165,300,2,30.780542
20260318_111348,2026-03-18T11:14:21,SPSA,2,1.1458302932644904,300,2,32.65145
20260318_111348,2026-03-18T11:14:23,SPSA,3,1.2147476265694153,300,2,34.625505
20260318_111348,2026-03-18T11:14:25,SPSA,4,1.2034817721728337,300,2,36.590442
20260318_111348,2026-03-18T11:14:27,SPSA,5,1.1917819262421068,300,2,38.564172
20260318_111348,2026-03-18T11:14:29,SPSA,6,1.1179178015608733,300,2,40.572185
20260318_111348,2026-03-18T11:14:31,SPSA,7,0.9461351692318222,300,2,42.548563
20260318_111348,2026-03-18T11:14:33,SPSA,8,0.9246594142220651,300,2,44.759089
20260318_111348,2026-03-18T11:14:35,SPSA,9,0.9248348310671861,300,2,46.787398
20260318_111348,2026-03-18T11:14:37,SPSA,10,0.8379276825610834,300,2,48.804527
20260318_111348,2026-03-18T11:14:39,SPSA,11,0.7702927025067106,300,2,50.824946
20260318_111348,2026-03-18T11:14:41,SPSA,12,0.7403934481852059,300,2,52.920418
20260318_111348,2026-03-18T11:14:43,SPSA,13,0.7329869092311014,300,2,54.94024
20260318_111348,2026-03-18T11:14:45,SPSA,14,0.727551956568113,300,2,56.817643
20260318_111348,2026-03-18T11:14:47,SPSA,15,0.72749198686666,300,2,58.736457
20260318_111348,2026-03-18T11:14:49,SPSA,16,0.69967329420643,300,2,60.64951
20260318_111348,2026-03-18T11:14:51,SPSA,17,0.6867411097242458,300,2,62.607676
20260318_111348,2026-03-18T11:14:53,SPSA,18,0.6794264361751081,300,2,64.936007
20260318_111348,2026-03-18T11:14:55,SPSA,19,0.6793564795118834,300,2,66.989857
20260318_111348,2026-03-18T11:14:57,SPSA,20,0.6783627781353028,300,2,68.955172
20260318_111348,2026-03-18T11:14:59,SPSA,21,0.6773853972553892,300,2,70.935417
20260318_111348,2026-03-18T11:15:01,SPSA,22,0.6773372837155278,300,2,72.937784
20260318_111348,2026-03-18T11:15:03,SPSA,23,0.6724433787960489,300,2,74.886534
20260318_111348,2026-03-18T11:15:05,SPSA,24,0.6711661425660632,300,2,76.875789
20260318_111348,2026-03-18T11:15:07,SPSA,25,0.6711849040189232,300,2,78.91139
20260318_111348,2026-03-18T11:15:09,SPSA,26,0.6710605335384521,300,2,80.875902
20260318_111348,2026-03-18T11:15:11,SPSA,27,0.6686357560248564,300,2,83.052077
20260318_111348,2026-03-18T11:15:13,SPSA,28,0.6683970037926197,300,2,85.05081
20260318_111348,2026-03-18T11:15:15,SPSA,29,0.666912889877703,300,2,87.170563
20260318_111348,2026-03-18T11:15:18,SPSA,30,0.6669101847803846,300,2,89.343061
20260318_111348,2026-03-18T11:15:20,SPSA,31,0.6666446471625294,300,2,91.637712
20260318_111348,2026-03-18T11:15:22,SPSA,32,0.6666371157117955,300,2,94.10133
20260318_111348,2026-03-18T11:15:25,SPSA,33,0.6666552634752911,300,2,96.527785
20260318_111348,2026-03-18T11:15:27,SPSA,34,0.6666418742027663,300,2,99.00606
20260318_111348,2026-03-18T11:15:30,SPSA,35,0.6665019290545718,300,2,101.37235
20260318_111348,2026-03-18T11:15:32,SPSA,36,0.6662734678109437,300,2,103.801128
20260318_111348,2026-03-18T11:15:35,SPSA,37,0.6662762254664223,300,2,106.416403
20260318_111348,2026-03-18T11:15:37,SPSA,38,0.6662193413538742,300,2,108.767148
20260318_111348,2026-03-18T11:15:39,SPSA,39,0.6658531612146069,300,2,110.69941
20260318_111348,2026-03-18T11:15:41,SPSA,40,0.6655455841277939,300,2,112.619173
20260318_111348,2026-03-18T11:15:43,SPSA,41,0.665530653210674,300,2,114.55077
20260318_111348,2026-03-18T11:15:45,SPSA,42,0.6648381015805236,300,2,116.537673
